Logdir logdir\ndnf_dreamer_demo_s0
Create envs.
Simulate agent.
Encoder CNN shapes: {}
Encoder MLP shapes: {'symbolic': (147,)}
Decoder CNN shapes: {}
Decoder MLP shapes: {'symbolic': (147,)}
        39,760: rssm
       146,695: actor
       210,431: value
        78,335: reward
        13,057: cont
       170,240: encoder
       182,675: decoder
Optimizer has: 841193 parameters.
Evaluating the policy...
[7521] episode/score 1.0 / episode/length 17.0
[7537] episode/score 1.0 / episode/length 16.0
[7549] episode/score 1.0 / episode/length 12.0
[7561] episode/score 1.0 / episode/length 12.0
[7575] episode/score 1.0 / episode/length 14.0
[7589] episode/score 1.0 / episode/length 14.0
[7603] episode/score 1.0 / episode/length 14.0
[7615] episode/score 1.0 / episode/length 12.0
[7629] episode/score 1.0 / episode/length 14.0
[7644] episode/score 1.0 / episode/length 15.0
[7659] episode/score 1.0 / episode/length 15.0
[7671] episode/score 1.0 / episode/length 12.0
[7685] episode/score 1.0 / episode/length 14.0
[7704] episode/score 1.0 / episode/length 19.0
[7715] episode/score 1.0 / episode/length 11.0
[7734] episode/score 1.0 / episode/length 19.0
[7745] episode/score 1.0 / episode/length 11.0
[7766] episode/score 0.9 / episode/length 21.0
[7791] episode/score 0.9 / episode/length 25.0
[7805] episode/score 1.0 / episode/length 14.0
[7823] episode/score 1.0 / episode/length 18.0
[7838] episode/score 1.0 / episode/length 15.0
[7849] episode/score 1.0 / episode/length 11.0
[7866] episode/score 1.0 / episode/length 17.0
[7880] episode/score 1.0 / episode/length 14.0
[7896] episode/score 1.0 / episode/length 16.0
[7914] episode/score 1.0 / episode/length 18.0
[7929] episode/score 1.0 / episode/length 15.0
[7958] episode/score 0.9 / episode/length 29.0
[7972] episode/score 1.0 / episode/length 14.0
[7993] episode/score 0.9 / episode/length 21.0
[8006] episode/score 1.0 / episode/length 13.0
[8019] episode/score 1.0 / episode/length 13.0
[8036] episode/score 1.0 / episode/length 17.0
[8049] episode/score 1.0 / episode/length 13.0
[8069] episode/score 0.9 / episode/length 20.0
[8089] episode/score 0.9 / episode/length 20.0
[8104] episode/score 1.0 / episode/length 15.0
[8115] episode/score 1.0 / episode/length 11.0
[8131] episode/score 1.0 / episode/length 16.0
[8141] episode/score 1.0 / episode/length 10.0
[8159] episode/score 1.0 / episode/length 18.0
[8171] episode/score 1.0 / episode/length 12.0
[8197] episode/score 0.9 / episode/length 26.0
[8216] episode/score 1.0 / episode/length 19.0
[8227] episode/score 1.0 / episode/length 11.0
[8244] episode/score 1.0 / episode/length 17.0
[8256] episode/score 1.0 / episode/length 12.0
[8273] episode/score 1.0 / episode/length 17.0
[8290] episode/score 1.0 / episode/length 17.0
[8308] episode/score 1.0 / episode/length 18.0
[8324] episode/score 1.0 / episode/length 16.0
[8339] episode/score 1.0 / episode/length 15.0
[8355] episode/score 1.0 / episode/length 16.0
